race_date,race_id,hippodrome,discipline,official,v2_top7,v3_top7,v2_hits,v3_hits,v2_trio,v3_trio,v2_quarte,v3_quarte,v2_quinte,v3_quinte,v4_top7,v4_hits,v4_trio,v4_quarte,v4_quinte,v41_top7,v41_hits,v41_trio,v41_quarte,v41_quinte,v42_top7,v42_hits,v42_trio,v42_quarte,v42_quinte,v42_market_weight,v42_weight_spread
2026-07-11,R1C7_2026-07-11,ENGHIEN,ATTELE_VOLTE,11-6-9-4-7,14-11-1-10-13-9-12,14-11-13-9-10-1-4,2,3,False,False,False,False,False,False,14-11-1-10-13-9-4,3,False,False,False,14-11-13-9-10-1-4,3,False,False,False,14-11-13-9-10-1-4,3,False,False,False,-0.4,
2026-07-12,R1C3_2026-07-12,DEAUVILLE,PLAT,7-13-9-12-4,13-10-9-4-1-5-12,13-9-12-7-10-4-6,4,5,False,True,False,True,False,True,13-10-9-4-12-7-6,5,True,True,True,13-9-12-10-4-6-7,5,True,True,True,13-9-10-4-12-6-7,5,True,True,True,-0.8,6.0
2026-07-13,R1C8_2026-07-13,DIEPPE,PLAT,5-8-1-16-11,4-8-7-5-1-16-3,4-8-16-2-5-7-6,4,3,True,False,True,False,False,False,4-8-7-5-16-2-1,4,True,True,False,4-8-16-5-7-2-1,4,True,True,False,4-8-7-5-16-2-1,4,True,True,False,-0.5,11.0
2026-07-14,R1C3_2026-07-14,ParisLongchamp,PLAT,4-2-14-6-10,4-1-2-5-6-3-9,4-1-6-7-2-5-9,3,3,False,False,False,False,False,False,4-1-2-5-6-9-3,3,False,False,False,4-1-6-2-5-9-3,3,False,False,False,4-1-2-5-6-9-3,3,False,False,False,-0.5,9.0
2026-07-15,R1C8_2026-07-15,LISIEUX,ATTELE_AUTOSTART,11-3-4-5-14,1-7-5-11-3-13-8,1-7-8-3-5-11-4,3,4,False,True,False,True,False,False,1-7-5-11-3-8-13,3,False,False,False,1-7-8-3-5-11-13,3,False,False,False,1-7-8-3-5-11-13,3,False,False,False,-0.4,
2026-07-16,R1C8_2026-07-16,COMPIEGNE,PLAT,14-5-3-10-7,5-3-2-15-14-7-4,5-3-7-14-2-15-6,4,4,True,True,False,False,False,False,5-3-2-15-14-7-6,4,True,False,False,5-3-7-14-2-15-6,4,True,False,False,5-3-2-15-7-14-6,4,True,False,False,-0.5,10.0
2026-07-17,R1C4_2026-07-17,CABOURG,ATTELE_VOLTE,4-6-2-13-12,4-8-10-2-6-5-3,4-10-6-5-8-2-7,3,3,True,True,False,False,False,False,4-8-10-2-6-5-3,3,True,False,False,4-10-6-5-8-2-3,3,True,False,False,4-10-6-5-8-2-3,3,True,False,False,-0.4,
2026-07-18,R1C4_2026-07-18,ENGHIEN,ATTELE_AUTOSTART,13-6-1-12-4,13-12-2-6-5-1-4,13-12-5-1-6-2-3,5,4,True,True,True,True,True,False,13-12-2-6-5-1-4,5,True,True,True,13-12-5-1-6-2-4,5,True,True,True,13-12-5-1-6-2-4,5,True,True,True,-0.4,
2026-07-19,R1C3_2026-07-19,CHANTILLY,PLAT,1-13-8-9-4,11-13-7-1-4-9-6,11-1-9-4-13-7-3,4,4,False,False,False,False,False,False,11-13-7-1-4-9-3,4,False,False,False,11-1-9-4-13-7-3,4,False,False,False,11-13-1-7-4-9-3,4,False,False,False,-1.0,6.5
2026-07-20,R1C8_2026-07-20,VICHY,PLAT,15-11-1-13-2,1-2-11-9-10-3-5,1-2-3-4-15-11-5,3,4,False,True,False,False,False,False,1-2-11-3-5-4-10,3,False,False,False,1-2-3-11-5-4-10,3,False,False,False,1-2-3-11-5-4-15,4,True,False,False,-1.0,7.0
2026-07-21,R1C8_2026-07-21,VICHY,PLAT,4-8-14-13-6,1-14-3-4-13-8-7,14-3-13-12-1-4-6,4,4,True,False,True,False,False,False,1-14-3-4-13-7-6,4,False,False,False,14-3-13-1-4-6-7,4,False,False,False,1-14-3-4-13-6-7,4,False,False,False,-0.5,9.0
