category,segment,n_races,avg_top5_in_top7,trio_count,trio_rate,quarte_count,quarte_rate,quinte_count,quinte_rate
distance,<=1400,8,3.5,4,0.5,2,0.25,1,0.125
distance,1500-2000,14,3.357142857142857,6,0.42857142857142855,5,0.35714285714285715,2,0.14285714285714285
distance,>=2400,9,3.3333333333333335,3,0.3333333333333333,2,0.2222222222222222,1,0.1111111111111111
field_size,<=15,4,3.75,1,0.25,1,0.25,1,0.25
field_size,16,25,3.4,12,0.48,8,0.32,3,0.12
field_size,17+,2,2.5,0,0.0,0,0.0,0,0.0
weight_spread,<=6kg,7,3.5714285714285716,4,0.5714285714285714,3,0.42857142857142855,1,0.14285714285714285
weight_spread,6.5-8kg,13,3.1538461538461537,4,0.3076923076923077,2,0.15384615384615385,2,0.15384615384615385
weight_spread,>8kg,11,3.5454545454545454,5,0.45454545454545453,4,0.36363636363636365,1,0.09090909090909091
hippodrome,CHANTILLY,1,4.0,0,0.0,0,0.0,0,0.0
hippodrome,CLAIREFONTAINE,3,4.333333333333333,3,1.0,3,1.0,1,0.3333333333333333
hippodrome,COMPIEGNE,2,4.0,2,1.0,1,0.5,0,0.0
hippodrome,DEAUVILLE,15,3.2,5,0.3333333333333333,4,0.26666666666666666,3,0.2
hippodrome,DIEPPE,2,3.5,2,1.0,1,0.5,0,0.0
hippodrome,MONT DE MARSAN,1,2.0,0,0.0,0,0.0,0,0.0
hippodrome,ParisLongchamp,3,3.3333333333333335,0,0.0,0,0.0,0,0.0
hippodrome,SAINT-CLOUD,1,2.0,0,0.0,0,0.0,0,0.0
hippodrome,VICHY,3,3.6666666666666665,1,0.3333333333333333,0,0.0,0,0.0
period,CTRL14,14,3.2857142857142856,5,0.35714285714285715,4,0.2857142857142857,2,0.14285714285714285
period,DEV17,17,3.4705882352941178,8,0.47058823529411764,5,0.29411764705882354,2,0.11764705882352941
